transaction_id,customer_id,transaction_time,amount,currency,merchant,merchant_category,arn,entry_mode,card_bin6,card_last4,card_masked,card_type,card_expiry,transaction_result,is_fraud,name,email,phone,region,country,created_at,risk_score
d97ea0b8-1869-4a78-a0cd-6356e6bf5feb,f21d2833-c18e-4d66-9943-97c46f5591ad,2025-01-06 19:06:08,124.96,EUR,Brown-Gilbert,restaurant,37a7048c3a5045f9b8baf73c,wallet,423952,6802,XXXX-XXXX-XXXX-6802,MASTERCARD,03/24,approved,0,Christopher Gilmore,qmercer@gmail.com,086-688-4634x513,California,Togo,2025-09-05,0.694
6c330754-0fdb-4f31-8cf7-7513d4e39f3a,a3b3e11b-7775-426c-a949-7db69b9381ec,2025-03-24 23:30:54,151.69,EUR,"Davis, Erickson and Davis",electronics,f512e83aa9eb48d98b66c6ac,magstripe,431620,3027,XXXX-XXXX-XXXX-3027,AMEX,10/26,approved,0,William Barrett,elaine44@hotmail.com,001-000-337-1573x4463,Texas,Saint Martin,2024-11-03,0.271
6238ad32-3b74-443c-8278-ace4a2f155a9,9acfe8a8-0a93-4d58-bdc8-c078ef635de6,2024-10-16 07:26:32,160.14,EUR,"Anderson, Barnett and Lloyd",gaming,a6571d209527484da6c0759e,ecommerce,477500,7390,XXXX-XXXX-XXXX-7390,MASTERCARD,02/25,declined,0,Linda Williams,woodkaren@hotmail.com,936.376.6521x59352,Utah,Jersey,2025-03-23,0.159
9e0d4019-f135-4738-8314-b1a046fb899f,45e1ded6-e770-4f42-b196-9c966a6e9e59,2024-12-31 08:37:49,77.03,EUR,"Wise, Larson and Brown",restaurant,ccc1771d83c848038a953797,contactless,468119,6770,XXXX-XXXX-XXXX-6770,VISA,01/29,declined,0,Vincent Saunders,nancy83@hotmail.com,277.920.2543,New Mexico,British Indian Ocean Territory (Chagos Archipelago),2025-05-12,0.585
ec9c235c-b9d1-4ad2-8e5f-7252ffa748e7,2d4cfaec-1127-429e-bdbb-9faa2e33c08b,2025-08-08 17:59:21,139.38,EUR,Maldonado-Beck,electronics,b0a54d13ca094472aa652ae7,chip,469023,9432,XXXX-XXXX-XXXX-9432,VISA,02/29,approved,0,Mrs. Lindsey Allen MD,browndavid@hotmail.com,+1-722-590-3259x599,Kansas,Sao Tome and Principe,2024-10-20,0.552
0021bf40-e684-4435-a595-863be15b842c,4a2b1b33-e641-41e6-8430-660b29e38fdd,2024-12-24 04:12:33,381.41,EUR,Skinner-Kirby,grocery,f1498055674142eeaf7456fb,wallet,466645,3897,XXXX-XXXX-XXXX-3897,VISA,01/25,approved,0,Kent Riley,hnelson@gmail.com,313-336-0663x543,Utah,Puerto Rico,2025-05-23,0.471
545a31dd-316b-4956-9d5d-d24a10c4c646,e7d84eaa-a3bb-42be-a7f9-9f53a2b1d960,2024-12-12 01:43:25,194.13,EUR,"Simmons, Robinson and Williams",grocery,6522a934816047d6bc763d7d,wallet,537098,2026,XXXX-XXXX-XXXX-2026,AMEX,06/25,approved,0,Aaron Miller,jason78@hotmail.com,+1-516-519-4267,South Carolina,El Salvador,2025-01-28,0.983
8bec1805-5828-4f01-8d88-d46cf1444bcf,d88e2a3f-480a-4ebd-acb3-73f856553496,2025-06-27 00:10:54,130.87,EUR,Chavez LLC,travel,aa29b6006b7147a7b64a6600,wallet,493167,7124,XXXX-XXXX-XXXX-7124,MASTERCARD,02/28,declined,0,Bruce Rodriguez DVM,idouglas@gmail.com,0295698097,CH,Honduras,2025-04-23,0.211
31784aa6-ac84-4899-96ee-83f57ac0b14c,dbbd078a-8f0c-441f-93c6-1234b49a88b3,2025-02-22 21:20:39,94.68,EUR,"Randolph, Bolton and Harris",pharmacy,08d4178702004374863e93af,wallet,538190,587,XXXX-XXXX-XXXX-0587,MASTERCARD,12/28,pending,0,John Pearson,ortizpamela@yahoo.com,(678)394-2441,Virginia,Vietnam,2025-02-08,0.351
f6eea683-e608-492e-8291-b8cee67920bf,fb17e241-ecd7-429a-9ac6-492d2fdfa93b,2025-01-24 06:45:27,162.42,EUR,"Price, Newman and Huff",pharmacy,420e4987c70442a0848b4408,wallet,473379,7475,XXXX-XXXX-XXXX-7475,VISA,03/25,approved,0,Aaron Cochran,gregorysmith@yahoo.com,126.139.1333x203,Maryland,Nicaragua,2025-01-08,0.753
