transaction_id,customer_id,name,email,phone_clean,dominio,risk_score,risk_level,created_at,customer_days_active,transaction_date,transaction_hour,hour,year,month,day,weekday,month_year,region_normalized,country_normalized,is_international,amount,currency,merchant,merchant_category,entry_mode,transaction_result,arn,card_type,card_bin6,card_last4,card_masked,card_expiry,is_fraud
d97ea0b8-1869-4a78-a0cd-6356e6bf5feb,f21d2833-c18e-4d66-9943-97c46f5591ad,Christopher Gilmore,qmercer@gmail.com,0866884634513,gmail.com,0.694,Medio,2025-09-05,242,2025-01-06,19:06:08,0,2025,9,5,Friday,2025-09,California,Togo,1,124.96,EUR,Brown-Gilbert,restaurant,wallet,approved,37a7048c3a5045f9b8baf73c,MASTERCARD,423952,6802,XXXX-XXXX-XXXX-6802,03/24,0
6c330754-0fdb-4f31-8cf7-7513d4e39f3a,a3b3e11b-7775-426c-a949-7db69b9381ec,William Barrett,elaine44@hotmail.com,00100033715734463,hotmail.com,0.271,Bajo,2024-11-03,141,2025-03-24,23:30:54,0,2024,11,3,Sunday,2024-11,Texas,Saint Martin,1,151.69,EUR,"Davis, Erickson and Davis",electronics,magstripe,approved,f512e83aa9eb48d98b66c6ac,AMEX,431620,3027,XXXX-XXXX-XXXX-3027,10/26,0
6238ad32-3b74-443c-8278-ace4a2f155a9,9acfe8a8-0a93-4d58-bdc8-c078ef635de6,Linda Williams,woodkaren@hotmail.com,936376652159352,hotmail.com,0.159,Bajo,2025-03-23,158,2024-10-16,07:26:32,0,2025,3,23,Sunday,2025-03,Utah,Jersey,1,160.14,EUR,"Anderson, Barnett and Lloyd",gaming,ecommerce,declined,a6571d209527484da6c0759e,MASTERCARD,477500,7390,XXXX-XXXX-XXXX-7390,02/25,0
9e0d4019-f135-4738-8314-b1a046fb899f,45e1ded6-e770-4f42-b196-9c966a6e9e59,Vincent Saunders,nancy83@hotmail.com,2779202543,hotmail.com,0.585,Medio,2025-05-12,132,2024-12-31,08:37:49,0,2025,5,12,Monday,2025-05,New Mexico,British Indian Ocean Territory (Chagos Archipelago),1,77.03,EUR,"Wise, Larson and Brown",restaurant,contactless,declined,ccc1771d83c848038a953797,VISA,468119,6770,XXXX-XXXX-XXXX-6770,01/29,0
ec9c235c-b9d1-4ad2-8e5f-7252ffa748e7,2d4cfaec-1127-429e-bdbb-9faa2e33c08b,Mrs. Lindsey Allen Md,browndavid@hotmail.com,17225903259599,hotmail.com,0.552,Medio,2024-10-20,292,2025-08-08,17:59:21,0,2024,10,20,Sunday,2024-10,Kansas,Sao Tome and Principe,1,139.38,EUR,Maldonado-Beck,electronics,chip,approved,b0a54d13ca094472aa652ae7,VISA,469023,9432,XXXX-XXXX-XXXX-9432,02/29,0
0021bf40-e684-4435-a595-863be15b842c,4a2b1b33-e641-41e6-8430-660b29e38fdd,Kent Riley,hnelson@gmail.com,3133360663543,gmail.com,0.471,Medio,2025-05-23,150,2024-12-24,04:12:33,0,2025,5,23,Friday,2025-05,Utah,Puerto Rico,1,381.41,EUR,Skinner-Kirby,grocery,wallet,approved,f1498055674142eeaf7456fb,VISA,466645,3897,XXXX-XXXX-XXXX-3897,01/25,0
545a31dd-316b-4956-9d5d-d24a10c4c646,e7d84eaa-a3bb-42be-a7f9-9f53a2b1d960,Aaron Miller,jason78@hotmail.com,15165194267,hotmail.com,0.983,Alto,2025-01-28,47,2024-12-12,01:43:25,0,2025,1,28,Tuesday,2025-01,South Carolina,El Salvador,1,194.13,EUR,"Simmons, Robinson and Williams",grocery,wallet,approved,6522a934816047d6bc763d7d,AMEX,537098,2026,XXXX-XXXX-XXXX-2026,06/25,0
8bec1805-5828-4f01-8d88-d46cf1444bcf,d88e2a3f-480a-4ebd-acb3-73f856553496,Bruce Rodriguez Dvm,idouglas@gmail.com,0295698097,gmail.com,0.211,Bajo,2025-04-23,65,2025-06-27,00:10:54,0,2025,4,23,Wednesday,2025-04,Switzerland,Honduras,1,130.87,EUR,Chavez LLC,travel,wallet,declined,aa29b6006b7147a7b64a6600,MASTERCARD,493167,7124,XXXX-XXXX-XXXX-7124,02/28,0
31784aa6-ac84-4899-96ee-83f57ac0b14c,dbbd078a-8f0c-441f-93c6-1234b49a88b3,John Pearson,ortizpamela@yahoo.com,6783942441,yahoo.com,0.351,Medio,2025-02-08,14,2025-02-22,21:20:39,0,2025,2,8,Saturday,2025-02,Virginia,Viet Nam,1,94.68,EUR,"Randolph, Bolton and Harris",pharmacy,wallet,pending,08d4178702004374863e93af,MASTERCARD,538190,587,XXXX-XXXX-XXXX-0587,12/28,0
f6eea683-e608-492e-8291-b8cee67920bf,fb17e241-ecd7-429a-9ac6-492d2fdfa93b,Aaron Cochran,gregorysmith@yahoo.com,1261391333203,yahoo.com,0.753,Alto,2025-01-08,16,2025-01-24,06:45:27,0,2025,1,8,Wednesday,2025-01,Maryland,Nicaragua,1,162.42,EUR,"Price, Newman and Huff",pharmacy,wallet,approved,420e4987c70442a0848b4408,VISA,473379,7475,XXXX-XXXX-XXXX-7475,03/25,0
